ori9,agency_name,year,clearance_rate,treated,cate,rtcc_city,population
NB0550100,lincoln,1962,0.0,0,0.17436237830461382,,139392
NY0010100,albany,1962,0.0,0,0.3281810426837656,,129388
NJ0090600,jersey city,1962,0.0,0,-0.9841365008076793,,274047
TX1551200,waco,1962,0.0,0,0.2940522631029639,,110023
NY0320200,utica,1962,0.0,0,-0.5641024847230262,,100656
TX1230100,beaumont,1962,0.0,0,0.37912760755814895,,124355
NC0920100,raleigh,1962,0.0,0,-0.7439410919251576,,100594
NJ0040800,camden,1962,0.0,0,0.21124045486177806,,117554
NY0310200,niagara falls,1962,0.0,0,-0.8817968388543075,,105251
MS0250100,jackson,1962,0.0,0,-0.6668166590394893,,152649
CO0300000,jefferson,1962,0.0,0,0.6213846839164034,,111245
NC0260000,cumberland,1962,0.0,0,0.3655287197007611,,102337
CA0100500,fresno,1962,0.0,0,0.2530187545126806,,140368
NY0270000,monroe,1962,0.0,0,1.642062218957953,,221629
CA0340400,sacramento,1962,0.0,0,1.394206718300055,,201378
CA0197200,torrance,1962,0.0,0,0.5282686006581462,,111734
CA0195300,pasadena,1962,0.0,0,0.31187038636278275,,118564
LA0090100,shreveport,1962,0.0,0,-0.6686299288335229,,166771
RI0040900,providence,1962,0.0,0,0.9266164212780537,,201147
FL0060000,broward,1962,0.0,0,-0.11784323039482279,,153022
FL0290200,tampa,1962,0.0,0,-0.8364872837177371,,299152
IN0450500,gary,1962,0.0,0,-0.25359627990491146,,182992
CA0150000,kern,1962,0.0,0,2.1916341158330073,,198847
TX1520200,lubbock,1962,0.0,0,-0.13266657788863317,,140557
AZ0070000,maricopa,1962,0.0,0,0.31622898452596937,,111091
FL0290000,hillsborough,1962,0.0,0,0.3348849398476704,,114326
NY0130000,dutchess,1962,0.0,0,3.2216894189766387,,105120
MA0091100,cambridge,1962,0.0,0,-0.7485517990136158,,103949
MI2539800,flint,1962,0.0,0,0.1693867268010653,,201570
MO0956800,st louis,1962,0.0,0,1.8086052038530347,,215452
NC0410200,greensboro,1962,0.0,0,0.3581848676810644,,124542
PA0390100,allentown,1962,0.0,0,-1.002991787384234,,106822
IN0820100,evansville,1962,0.0,0,0.09264876048501808,,141706
NM0010100,albuquerque,1962,0.0,0,-0.17076388474918253,Albuquerque,222061
OH0570000,montgomery,1962,0.0,0,1.780555246301362,,176631
TN0330100,chattanooga,1962,0.0,0,-1.024748899472132,,130850
IN0450700,hammond,1962,0.0,0,0.44865056040857904,,114263
OH0760400,canton,1962,0.0,0,0.5430432314831296,,111789
FL0520000,pinellas,1962,0.0,0,-0.9461359899589346,,103504
CA0430000,santa clara,1962,0.0,0,2.2405562119194835,,198945
CA0010000,alameda,1962,0.0,0,0.42688226566785203,,132501
KS0890100,topeka,1962,0.0,0,0.28150844013696347,,119072
CA0301900,santa ana,1962,0.0,0,0.5678639946690766,,117055
TN0470100,knoxville,1962,0.0,0,-0.19588850872548155,,147582
FL0480000,orange,1962,0.0,0,-0.17841664457504292,,155664
FL0130200,coral gables,1962,0.0,0,-1.246636416375839,Miami,39725
CA0390000,san joaquin,1962,0.0,0,0.3836675136073563,,123143
TN0790000,shelby,1962,0.0,0,0.12218263563223909,,135576
CA0300100,anaheim,1962,0.0,0,0.38860043311930204,,123888
TN0470000,knox,1962,0.0,0,0.29670584709541753,,110162
IL0720700,peoria,1962,0.0,0,4.056450492465983,,100608
KS0870300,wichita,1962,0.0,0,-1.4640370816858979,,258424
PA0020000,allegheny,1962,0.0,0,1.3672925960961837,,224726
