BH001	BH002	FIPS_STATE	BH003	BH004	BH005	BH006	BH007	BH008	BH009	BH010	BH011	BH012	BH013	BH014	BH015	BH016	BH017	BH018	BH019	BH020	BH021	BH022	BH023	BH024	BH025	BH026	BH027	BH028	BH029	BH030	BH031	BH032	BH033	BH034	BH035	BH036	BH037	BH038	BH039	BH040	BH041	BH042	BH043	BH044	BH045	BH046	BH047	BH048	BH049	BH050	BH051	BH052	BH053	BH054	BH055	BH056	BH057	BH058	BH059	BH060
BH	21	26	MI3813800	     .00	 	01-JUN-1996	JACKSON	MI	92	3	2	2	0	 	3220	200E	1	 	65052	38	377	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	75	 	 	 	 	 	1
BH	21	26	MI3827300	     .00	 	 	BROOKLYN	MI	70	3	2	1	0	MI3832600	3220	200E	 	01-DEC-2023	1398	38	377	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	75	 	 	 	 	 	1
BH	21	26	MI3832600	     .00	 	01-SEP-1995	BROOKLYN	MI	60	3	2	1	0	 	3220	200E	1	 	7456	38	377	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	75	 	 	 	 	 	1
BH	21	26	MI3832700	     .00	 	01-JAN-1995	CONCORD	MI	70	3	2	1	0	MI3813800	3220	200E	1	01-DEC-2023	1092	38	377	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	75	 	 	 	 	 	1
BH	21	26	MI3843900	     .00	 	 	JACKSON	MI	70	3	2	1	0	MI3813800	3220	200E	 	01-DEC-2023	1103	38	377	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	75	 	 	 	 	 	1
BH	21	26	MI3845500	     .00	 	 	HANOVER	MI	70	3	2	1	0	MI3813800	3220	200E	 	01-DEC-2023	472	38	377	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	75	 	 	 	 	 	1
BH	21	26	MI3846800	     .00	 	 	PLEASANT LAKE	MI	60	3	2	1	0	MI3813800	3220	200E	 	01-DEC-2023	4688	38	377	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	75	 	 	 	 	 	1
BH	21	26	MI3849700	     .00	 	01-JAN-1997	JACKSON	MI	40	3	2	1	1	 	3220	200E	1	 	30896	38	377	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	75	 	 	 	 	 	1
BH	21	26	MI3852700	     .00	 	01-JAN-1995	JACKSON	MI	50	3	2	1	0	MI3889000	3220	200E	1	01-DEC-2023	13771	38	377	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	75	 	 	 	 	 	1
BH	21	26	MI3860600	     .00	 	01-JAN-1997	NAPOLEON	MI	60	3	2	1	0	 	3220	200E	1	 	6713	38	377	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	75	 	 	 	 	 	1
